"item_id","order_id","order_details_id","item_name","category","price","order_date","parsed_order_time_24hr"
"113","11","29","Edamame","Asian","5.00","1/1/23","13:02:59"
"113","24","65","Edamame","Asian","5.00","1/1/23","14:23:01"
"113","31","78","Edamame","Asian","5.00","1/1/23","15:50:18"
"113","35","88","Edamame","Asian","5.00","1/1/23","16:32:04"
"113","58","139","Edamame","Asian","5.00","1/1/23","19:30:40"
"113","59","142","Edamame","Asian","5.00","1/1/23","19:40:08"
"113","80","189","Edamame","Asian","5.00","1/2/23","12:35:38"
"113","84","197","Edamame","Asian","5.00","1/2/23","13:13:41"
"113","91","214","Edamame","Asian","5.00","1/2/23","15:14:43"
"113","92","219","Edamame","Asian","5.00","1/2/23","15:17:02"
"113","101","236","Edamame","Asian","5.00","1/2/23","17:51:33"
"113","105","247","Edamame","Asian","5.00","1/2/23","18:12:01"
"113","109","260","Edamame","Asian","5.00","1/2/23","18:27:50"
"113","111","268","Edamame","Asian","5.00","1/2/23","18:38:01"
"113","112","270","Edamame","Asian","5.00","1/2/23","18:41:40"
"113","114","274","Edamame","Asian","5.00","1/2/23","18:59:32"
"113","127","300","Edamame","Asian","5.00","1/2/23","20:58:23"
"113","132","312","Edamame","Asian","5.00","1/2/23","21:42:45"
"113","137","323","Edamame","Asian","5.00","1/3/23","11:34:10"
"113","143","338","Edamame","Asian","5.00","1/3/23","13:41:36"
"113","150","361","Edamame","Asian","5.00","1/3/23","14:49:58"
"113","155","372","Edamame","Asian","5.00","1/3/23","15:28:59"
"113","163","390","Edamame","Asian","5.00","1/3/23","16:54:54"
"113","164","393","Edamame","Asian","5.00","1/3/23","16:56:33"
"113","167","398","Edamame","Asian","5.00","1/3/23","17:00:49"
"113","188","443","Edamame","Asian","5.00","1/3/23","20:08:39"
"113","206","485","Edamame","Asian","5.00","1/4/23","11:45:10"
"113","208","491","Edamame","Asian","5.00","1/4/23","12:12:05"
"113","211","495","Edamame","Asian","5.00","1/4/23","12:54:20"
"113","246","567","Edamame","Asian","5.00","1/4/23","20:30:48"
"113","259","590","Edamame","Asian","5.00","1/5/23","12:04:25"
"113","268","606","Edamame","Asian","5.00","1/5/23","13:40:46"
"113","275","627","Edamame","Asian","5.00","1/5/23","14:38:14"
"113","287","652","Edamame","Asian","5.00","1/5/23","17:30:09"
"113","303","689","Edamame","Asian","5.00","1/5/23","20:02:51"
"113","305","692","Edamame","Asian","5.00","1/5/23","20:35:40"
"113","334","770","Edamame","Asian","5.00","1/6/23","14:24:18"
"113","337","776","Edamame","Asian","5.00","1/6/23","15:03:12"
"113","341","783","Edamame","Asian","5.00","1/6/23","15:35:47"
"113","349","801","Edamame","Asian","5.00","1/6/23","17:25:58"
"113","350","803","Edamame","Asian","5.00","1/6/23","17:37:05"
"113","365","836","Edamame","Asian","5.00","1/6/23","19:37:26"
"113","371","845","Edamame","Asian","5.00","1/6/23","21:15:20"
"113","387","878","Edamame","Asian","5.00","1/7/23","13:03:14"
"113","392","891","Edamame","Asian","5.00","1/7/23","13:36:47"
"113","394","903","Edamame","Asian","5.00","1/7/23","14:02:18"
"113","394","904","Edamame","Asian","5.00","1/7/23","14:02:18"
"113","397","914","Edamame","Asian","5.00","1/7/23","14:31:10"
"113","398","915","Edamame","Asian","5.00","1/7/23","14:56:26"
"113","400","920","Edamame","Asian","5.00","1/7/23","16:03:07"
"113","407","935","Edamame","Asian","5.00","1/7/23","16:56:42"
"113","409","938","Edamame","Asian","5.00","1/7/23","17:15:04"
"113","417","952","Edamame","Asian","5.00","1/7/23","18:24:40"
"113","424","969","Edamame","Asian","5.00","1/7/23","20:01:28"
"113","439","1001","Edamame","Asian","5.00","1/8/23","12:13:08"
"113","440","1012","Edamame","Asian","5.00","1/8/23","12:16:34"
"113","443","1026","Edamame","Asian","5.00","1/8/23","12:34:20"
"113","468","1079","Edamame","Asian","5.00","1/8/23","15:36:12"
"113","474","1090","Edamame","Asian","5.00","1/8/23","16:47:48"
"113","476","1093","Edamame","Asian","5.00","1/8/23","17:27:56"
"113","480","1102","Edamame","Asian","5.00","1/8/23","17:41:31"
